Milk Previous Fat Protein Days Lactat I79
45 45 5.5 8.9 21 5 0
86 86 4.4 4.1 25 4 0
50 50 6.5 4.0 25 7 0
42 42 7.4 4.1 25 2 0
61 61 3.8 3.8 33 2 0
93 93 4.2 3.8 45 3 0
91 91 2.9 2.6 46 2 0
90 90 4.7 2.9 46 5 0
53 53 2.5 3.5 46 2 0
84 84 4.3 3.3 56 2 0
70 20 3.6 3.3 53 2 0
76 50 4.3 3.3 56 2 0
95 60 3.2 2.9 57 1 0
69 55 3.2 2.6 57 1 0
99 81 5.9 2.9 59 5 0
97 24 5.1 3.2 59 1 0
49 51 3.8 2.9 59 1 0
108 58 5.8 3.2 60 5 0
98 98 3.1 3.2 62 1 0
71 57 3.7 3.1 60 1 0
58 47 3.1 2.9 62 1 0
107 56 5.1 6.7 27 6 0
37 63 5.5 6.1 40 5 0
49 77 2.8 8.7 30 2 0
20 82 5.8 4.3 42 2 0
82 28 5.5 7.4 58 1 0
68 62 4.6 3.3 39 4 0
92 31 3.2 6.3 36 3 0
93 34 4.1 7.8 60 2 0
20 69 3.1 5.9 54 5 0
48 49 4.1 2.9 51 5 0
67 61 6.1 5.9 21 4 0
31 39 3.9 3.1 32 6 0
86 82 5.2 8.9 46 1 0
68 39 6.6 7.3 37 4 0
104 61 3.1 5.3 24 3 0
32 28 4.6 3.1 41 7 0
75 23 4.5 4.9 51 4 0
27 66 6.4 6.0 39 3 0
108 26 4.2 5.0 38 5 0
78 81 4.5 7.7 50 2 0
32 84 6.0 4.7 59 5 0
21 72 2.9 4.9 55 7 0
98 43 5.3 7.4 55 3 0
71 29 5.6 6.3 49 1 0
44 51 4.2 7.6 26 5 0
22 69 7.0 6.8 50 1 0
98 72 5.1 7.3 35 3 0
82 94 5.8 6.2 60 7 0
80 30 7.4 8.5 54 1 0
103 39 7.0 3.3 47 7 0
40 48 4.8 3.6 52 3 0
50 71 5.7 6.3 46 3 0
44 83 4.0 4.4 29 6 0
34 20 3.5 8.1 26 7 0
79 38 6.0 2.6 42 1 0
67 86 7.3 3.3 47 6 0
64 63 7.4 7.2 55 3 0
107 95 7.1 7.0 55 5 0
22 73 7.2 7.5 54 1 0
53 94 3.8 5.0 60 1 0
63 36 6.3 3.8 40 4 0
94 81 6.2 7.3 38 6 0
40 72 3.9 6.9 37 2 0
88 56 7.1 7.8 26 5 0
54 80 3.6 4.9 23 5 0
41 45 2.6 2.7 44 1 0
87 96 6.3 6.4 30 4 0
39 57 3.4 6.6 36 1 0
82 24 4.7 6.7 28 2 0
41 52 2.8 6.2 37 6 0
91 29 4.7 2.6 54 3 0
87 72 5.4 8.3 50 3 0
97 75 3.5 7.1 47 6 0
40 54 3.7 4.4 38 6 0
52 29 6.6 6.3 32 6 0
71 33 6.1 6.4 32 3 0
40 42 3.0 3.7 23 6 0
96 98 4.7 3.5 48 1 0
83 71 6.9 7.3 32 5 0
70 68 7.3 3.3 62 3 0
58 42 7.0 4.9 24 4 0
88 53 3.3 6.6 36 2 0
37 32 5.3 6.9 25 5 0
36 76 3.2 3.0 54 4 0
25 88 2.8 5.5 32 6 0
101 98 4.6 3.0 54 1 0
40 67 5.2 3.7 22 3 0
103 37 3.5 4.5 38 4 0
99 88 7.3 6.4 31 5 0
47 50 7.0 7.0 55 3 0
58 27 5.4 8.1 62 2 0
36 20 6.3 3.6 27 3 0
83 87 3.4 5.0 25 6 0
42 72 3.2 3.5 21 2 0
83 22 4.2 5.1 40 7 0
69 68 3.3 7.9 40 4 0
41 83 2.9 2.9 33 3 0
90 73 6.4 6.6 52 5 0
88 78 6.5 7.9 33 3 0
25 56 4.0 6.4 45 2 0
98 73 3.7 5.4 49 1 0
57 78 4.4 6.5 46 6 0
45 86 4.7 8.1 35 1 0
